Attached kprobe to mutex_lock and kretprobe to mutex_unlock
Attached kprobe to _raw_write_lock and kretprobe to _raw_write_unlock
Attached kprobe to _raw_read_lock and kretprobe to _raw_read_unlock
Tracing  locks for 30 seconds
TIME(s)            COMM             PID    LOCKTIME
1.634600620        b'ftdc'          335100 335080 18388517938844771920 1.634604     3489866.000000  3434  
1.634596740        b'ftdc'          335100 335080 18388517939027214112 1.634609     539019.000000   12375 
1.652504582        b'ftdc'          335100 335080 18388517938844771920 1.652613     3597801.000000  107935
1.652499657        b'ftdc'          335100 335080 18388517939027212832 1.652620     321955.000000   120309
1.652635104        b'ftdc'          335100 335080 18388517938844771920 1.652637     3599952.000000  2151  
1.652631116        b'ftdc'          335100 335080 18388517939027212832 1.652643     333383.000000   11428 
1.652749029        b'ftdc'          335100 335080 18388517939027209760 1.652795     373328.000000   46055 
1.652803854        b'ftdc'          335100 335080 18388517939027209760 1.652815     384388.000000   11060 
1.652853492        b'ftdc'          335100 335080 18446744071631907152 1.652873     112821.000000   19106 
1.652848623        b'ftdc'          335100 335080 18388517938844771920 1.652883     3634622.000000  34670 
1.652844382        b'ftdc'          335100 335080 18388517939027211552 1.652889     303377.000000   44216 
1.652899813        b'ftdc'          335100 335080 18388517938844771920 1.652902     3636867.000000  2245  
1.652895948        b'ftdc'          335100 335080 18388517939027211552 1.652907     314606.000000   11229 
1.652976866        b'ftdc'          335100 335080 18446744071631907152 1.652989     124506.000000   11685 
1.652972216        b'ftdc'          335100 335080 18388517938844771920 1.652998     3662382.000000  25515 
1.652968146        b'ftdc'          335100 335080 18388517939027208736 1.653003     386879.000000   34825 
1.653014057        b'ftdc'          335100 335080 18388517938844771920 1.653016     3664576.000000  2194  
1.653010257        b'ftdc'          335100 335080 18388517939027208736 1.653021     397983.000000   11104 
1.653061180        b'ftdc'          335100 335080 18446744071631907152 1.653072     135242.000000   10736 
1.653056486        b'ftdc'          335100 335080 18388517938844771920 1.653080     3688211.000000  23635 
1.653052535        b'ftdc'          335100 335080 18388517939027210784 1.653085     226439.000000   32691 
1.653097546        b'ftdc'          335100 335080 18388517938844771920 1.653100     3690256.000000  2045  
1.653093751        b'ftdc'          335100 335080 18388517939027210784 1.653105     237394.000000   10955 
2.001011085        b'mongod'        335091 335080 18388517964412566376 2.001014     28681.000000    3395  
2.001092065        b'mongod'        335091 335080 18388517964412566376 2.001095     31391.000000    2710  
2.630598735        b'ftdc'          335100 335080 18388517938844771920 2.630618     3709926.000000  19670 
2.630586810        b'ftdc'          335100 335080 18388517939027212832 2.630632     378853.000000   45470 
2.632292393        b'ftdc'          335100 335080 18388517938844771920 2.632312     3729106.000000  19180 
2.632285767        b'ftdc'          335100 335080 18388517939027214112 2.632320     573604.000000   34585 
2.632364122        b'ftdc'          335100 335080 18388517938844771920 2.632378     3743375.000000  14269 
2.632359847        b'ftdc'          335100 335080 18388517939027207712 2.632385     522887.000000   24725 
2.632779678        b'ftdc'          335100 335080 18388517938844771920 2.632928     3891648.000000  148273
2.632775173        b'ftdc'          335100 335080 18388517939027207456 2.632935     518269.000000   160072
2.632950781        b'ftdc'          335100 335080 18388517938844771920 2.632953     3893792.000000  2144  
2.632946845        b'ftdc'          335100 335080 18388517939027207456 2.632958     529749.000000   11480 
2.633030211        b'ftdc'          335100 335080 18388517938844771920 2.633062     3925750.000000  31958 
2.633026148        b'ftdc'          335100 335080 18388517939027207200 2.633068     653241.000000   42191 
2.633079660        b'ftdc'          335100 335080 18388517938844771920 2.633082     3927919.000000  2169  
2.633075869        b'ftdc'          335100 335080 18388517939027207200 2.633087     664257.000000   11016 
2.633215984        b'ftdc'          335100 335080 18388517938844771920 2.633339     4051147.000000  123228
2.633211944        b'ftdc'          335100 335080 18388517939027209248 2.633345     355608.000000   133397
2.633357032        b'ftdc'          335100 335080 18388517938844771920 2.633359     4053407.000000  2260  
2.633352927        b'ftdc'          335100 335080 18388517939027209248 2.633365     367278.000000   11670 
2.633512605        b'ftdc'          335100 335080 18388517938844771920 2.633591     4132226.000000  78819 
2.633508455        b'ftdc'          335100 335080 18388517939027213856 2.633597     393976.000000   88990 
